region,census_code,총인구,총종사자수
분당(판교),31021610010003,451.0,42.0
분당(판교),31021610010004,397.0,8.0
분당(판교),31021610010005,423.0,13.0
분당(판교),31021610010006,444.0,17.0
분당(판교),31021610010007,503.0,26.0
분당(판교),31021610010008,432.0,25.0
분당(판교),31021610010009,441.0,41.0
분당(판교),31021610010010,600.0,19.0
분당(판교),31021620010001,519.0,29.0
분당(판교),31021620010002,574.0,439.0
분당(판교),31021620010003,600.0,24.0
분당(판교),31021620010004,572.0,66.0
분당(판교),31021620010005,603.0,25.0
분당(판교),31021620010006,506.0,46.0
분당(판교),31021620010007,574.0,149.0
분당(판교),31021620010008,536.0,251.0
분당(판교),31021620010009,472.0,12.0
분당(판교),31021620010010,588.0,12.0
분당(판교),31021620010011,457.0,702.0
분당(판교),31021620010012,550.0,48.0
분당(판교),31021620010013,479.0,27.0
분당(판교),31021620010014,614.0,43.0
분당(판교),31021620010015,418.0,22.0
분당(판교),31021620010201,375.0,33.0
분당(판교),31021620010301,410.0,17.0
분당(판교),31021620010401,551.0,31.0
분당(판교),31021640010001,848.0,43.0
분당(판교),31021640020001,362.0,216.0
분당(판교),31021640020002,347.0,82.0
분당(판교),31021640020003,439.0,277.0
분당(판교),31021640020004,545.0,358.0
분당(판교),31021640020005,380.0,107.0
분당(판교),31021640020006,1105.0,9.0
분당(판교),31021640020007,309.0,147.0
분당(판교),31021650010001,427.0,258.0
분당(판교),31021650020001,428.0,166.0
분당(판교),31021650020002,619.0,2771.0
분당(판교),31021650020003,548.0,1158.0
분당(판교),31021650020004,405.0,284.0
분당(판교),31021650020005,499.0,244.0
분당(판교),31021650020101,500.0,35.0
분당(판교),31021650020102,479.0,29.0
분당(판교),31021650020103,449.0,19.0
분당(판교),31021650020104,399.0,35.0
분당(판교),31021650020105,403.0,2.0
분당(판교),31021650020201,608.0,73.0
분당(판교),31021650020202,544.0,27.0
분당(판교),31021650020301,384.0,7.0
분당(판교),31021650020401,387.0,8.0
분당(판교),31021650020501,485.0,10.0
분당(판교),31021650020502,577.0,41.0
분당(판교),31021650020503,520.0,22.0
분당(판교),31021650020504,444.0,32.0
분당(판교),31021650020601,415.0,16.0
분당(판교),31021650020602,466.0,16.0
분당(판교),31021650020603,466.0,15.0
분당(판교),31021650020604,445.0,12.0
분당(판교),31021650020701,323.0,11.0
분당(판교),31021660010001,521.0,7872.0
분당(판교),31021660010101,497.0,1486.0
분당(판교),31021660020001,483.0,1214.0
분당(판교),31021660020002,596.0,946.0
분당(판교),31021660020003,515.0,1630.0
분당(판교),31021660030001,621.0,3666.0
분당(판교),31021670010001,581.0,138.0
분당(판교),31021670010002,471.0,20.0
분당(판교),31021670010003,568.0,128.0
분당(판교),31021670010004,466.0,283.0
분당(판교),31021670010005,363.0,234.0
분당(판교),31021670010006,418.0,1270.0
분당(판교),31021670010007,414.0,150.0
분당(판교),31021670010008,369.0,2213.0
분당(판교),31021670010009,556.0,425.0
분당(판교),31021670010010,554.0,83.0
분당(판교),31021670010011,512.0,137.0
분당(판교),31021670010012,1794.0,2586.0
분당(판교),31021670010013,588.0,51.0
분당(판교),31021670010014,438.0,443.0
분당(판교),31021670010015,583.0,74.0
분당(판교),31021670010016,578.0,74.0
분당(판교),31021670010017,586.0,101.0
분당(판교),31021670010018,397.0,251.0
분당(판교),31021670010019,648.0,98.0
분당(판교),31021670010020,324.0,24.0
분당(판교),31021670010021,447.0,139.0
분당(판교),31021670010022,556.0,164.0
분당(판교),31021670010023,364.0,83.0
분당(판교),31021670010024,335.0,568.0
분당(판교),31021670020001,368.0,186.0
분당(판교),31021680010001,536.0,148.0
분당(판교),31021680010002,394.0,131.0
분당(판교),31021680010003,740.0,5250.0
분당(판교),31021680010004,364.0,126.0
분당(판교),31021680010005,709.0,4529.0
분당(판교),31021680010006,367.0,2242.0
분당(판교),31021680010007,0.0,62.0
분당(판교),31021680010008,418.0,131.0
분당(판교),31021680010009,0.0,37.0
분당(판교),31021680010010,939.0,584.0
분당(판교),31021680010101,443.0,10.0
분당(판교),31021680010102,554.0,14.0
분당(판교),31021680010103,474.0,64.0
분당(판교),31021680010104,385.0,10.0
분당(판교),31021680010105,426.0,19.0
분당(판교),31021680010106,436.0,13.0
분당(판교),31021680010107,463.0,11.0
분당(판교),31021680010108,415.0,10.0
분당(판교),31021680010201,563.0,110.0
분당(판교),31021680010301,399.0,91.0
